sample_date_utc,year_month,year,month,taxon_name,taxon_group,taxon_per_m3,plankton_type
2019-08-03T14:29:55Z,2019/8,2019,8,Copepod damaged / unidentified,COPEPOD,1.3333,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Corycaeidae m,COPEPOD,1.3333,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Ditrichocorycaeus spp. f,COPEPOD,0.6667,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Euchaeta spp.,COPEPOD,0.6667,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Euchaeta spp. j,COPEPOD,1.3333,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Nauplii poecilostomatoida / cyclopoid,COPEPOD,0.6667,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Candacia spp.,COPEPOD,0.6667,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Candacia discaudata f,COPEPOD,0.6667,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Calanoid j,COPEPOD,5.3333,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Salpidae,NON-COPEPOD,2,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Ostracod,NON-COPEPOD,0.6667,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Oikopleuridae,NON-COPEPOD,1.3333,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Mysid,NON-COPEPOD,0.6667,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Euconchoecia aculeata,NON-COPEPOD,1.3333,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Decapod larvae,NON-COPEPOD,8,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Onychocorycaeus agilis f,COPEPOD,1.3333,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Oncaea venusta complex f,COPEPOD,0.6667,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Oithona spp. m,COPEPOD,0.6667,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Oithona spp. j,COPEPOD,7.3333,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Oithona spp.,COPEPOD,1.3333,zooplankton
2019-08-03T14:29:55Z,2019/8,2019,8,Oithona simplex f,COPEPOD,2,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Siphonophore,NON-COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Stomatopod,NON-COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Salpidae,NON-COPEPOD,8,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Pterotracheoidea - atlantid,NON-COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Ostracod,NON-COPEPOD,1.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Oikopleuridae,NON-COPEPOD,1.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Medusa,NON-COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Hyperiid amphipod,NON-COPEPOD,3.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Euconchoecia aculeata,NON-COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Decapod larvae,NON-COPEPOD,7.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Chaetognatha,NON-COPEPOD,4,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Brachyuran zoea,NON-COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Bivalve,NON-COPEPOD,1.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Barnacle nauplii,NON-COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Undinula vulgaris f,COPEPOD,0.6667,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Subeucalanus spp. j,COPEPOD,1.3333,zooplankton
2019-08-03T16:17:46Z,2019/8,2019,8,Paracalanus spp. f,COPEPOD,0.6667,zooplankton
