sample_date_utc,year_month,year,month,day,taxon_name,taxon_group,taxon_per_m3,plankton_type
2019-08-03T23:29:12Z,2019/8,2019,8,3,Clausocalanus arcuicornis f,COPEPOD,2,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Euchaeta concinna f,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Ditrichocorycaeus lubbocki f,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Ditrichocorycaeus asiaticus m,COPEPOD,2,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Corycaeidae,COPEPOD,1.3333,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Copepod damaged / unidentified,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Clausocalanus spp. f,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Euchaeta concinna m,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Euchaeta spp. j,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Labidocera spp. j,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Oithona Grp3 (pointy head) f,COPEPOD,2.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Oithona plumifera f,COPEPOD,9.3333,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Oithona simplex f,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Oithona spp. j,COPEPOD,1.3333,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Paracalanus aculeatus f,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Subeucalanus subcrassus f,COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Barnacle nauplii,NON-COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Bryozoan (Cyphonaute larvae),NON-COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Chaetognatha,NON-COPEPOD,18.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Fish larvae,NON-COPEPOD,0.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Oikopleuridae,NON-COPEPOD,16.6667,zooplankton
2019-08-03T23:29:12Z,2019/8,2019,8,3,Siphonophore,NON-COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Bivalve,NON-COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Barnacle nauplii,NON-COPEPOD,1.3333,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Undinula vulgaris m,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Undinula vulgaris f,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Euconchoecia aculeata,NON-COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Egg,NON-COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Fish j,NON-COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Centropages furcatus m,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Doliolum spp.,NON-COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Decapod larvae,NON-COPEPOD,4,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Chaetognatha,NON-COPEPOD,32,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Brachyuran zoea,NON-COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Acrocalanus spp. f,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Calanid CV,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Calanoid j,COPEPOD,4,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Candacia spp.,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Canthocalanus pauper f,COPEPOD,1.3333,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Canthocalanus pauper m,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Centropages furcatus f,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Centropages furcatus j,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Subeucalanus spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Paracalanus spp. j,COPEPOD,0.6667,zooplankton
2019-08-04T01:17:04Z,2019/8,2019,8,4,Paracalanus aculeatus f,COPEPOD,0.6667,zooplankton
